CITY CODE,STATE,METRO/MICRO,URBAN AREA AND STATE,TBONESTEAK,GRNDBEEF,SAUSAGE,FRYCHICK,TUNA,HGALMILK,DOZENEGGS,MARGARINE,PARMESAN,POTATOES,BANANAS,LETTUCE,BREAD,ORANGJUICE,COFFEE,SUGAR,CEREAL,SWEETPEAS,PEACHES,KLNX,CAS-CADE,CANOLAOIL,FROZNMEAL,FROZNCORN,POTATOCHIPS,COKE,APTRENT,HOMEPRICE,MORTRATE (%),HOMEP+I,ALL-ELECT,PARTELECT,OTHERENERGY,TOTALENERGY,PHONE,TIREBAL,GASOLINE,OPTOMETRIST,DOCTOR,DENTIST,IBUPROFEN,LIPITOR,HMBGRSAND,PIZZA,2-PCCHICK,HAIRCUT,BEAUTSALON,TOOTHPASTE,SHAMPOO,DRYCLEAN,MEN'SSHIRT,BOY'SJEANS,WOMEN'SSLACKS,WASHRREPR,NEWSPAPER,MOVIE,BOWLING,TENNSBALLS,VETSERVICES,BEER,WINE
01-11500-100,Alabama,Anniston-Oxford-Jacksonville AL Metro,Anniston-Calhoun County AL,$9.81 ,$3.90 ,$4.39 ,$1.28 ,$0.89 ,$2.19 ,$2.06 ,$1.03 ,$3.76 ,$2.99 ,$0.60 ,$1.52 ,$1.71 ,$3.37 ,$3.89 ,$2.06 ,$3.53 ,$1.07 ,$2.47 ,$1.89 ,$4.39 ,$2.53 ,$2.53 ,$1.12 ,$3.01 ,$1.56 ,$592 ,"$238,426 ",3.89,$843 ,,$99.02 ,$80.11 ,$179.13 ,$24.93 ,$31.71 ,$2.39 ,$85.29 ,$78.63 ,$74.07 ,$9.25 ,$215.86 ,$3.52 ,$7.98 ,$3.49 ,$13.94 ,$29.14 ,$2.03 ,$1.05 ,$10.11 ,$26.07 ,$18.45 ,$26.98 ,$66.95 ,$12.65 ,$9.23 ,$6.35 ,$2.07 ,$43.19 ,$7.89 ,$8.44 
01-12220-125,Alabama,Auburn-Opelika AL Metro,Auburn-Opelika AL,$11.46 ,$5.02 ,$4.28 ,$1.30 ,$1.14 ,$2.17 ,$2.08 ,$0.97 ,$3.80 ,$3.46 ,$0.65 ,$1.36 ,$1.67 ,$3.61 ,$4.30 ,$2.55 ,$3.34 ,$1.36 ,$2.30 ,$1.80 ,$5.54 ,$2.74 ,$2.89 ,$1.78 ,$3.39 ,$1.61 ,$780 ,"$242,847 ",3.87,$863 ,,$97.02 ,$77.59 ,$174.61 ,$22.50 ,$32.84 ,$2.45 ,$72.75 ,$82.75 ,$73.38 ,$9.52 ,$314.36 ,$3.56 ,$9.25 ,$4.60 ,$14.67 ,$40.60 ,$2.84 ,$1.22 ,$9.12 ,$38.27 ,$27.16 ,$32.28 ,$64.00 ,$13.72 ,$10.88 ,$4.99 ,$2.66 ,$78.47 ,$8.82 ,$10.13 
01-13820-200,Alabama,Birmingham-Hoover AL Metro,Birmingham AL,$10.30 ,$4.44 ,$3.59 ,$1.34 ,$1.66 ,$2.52 ,$2.34 ,$0.98 ,$3.60 ,$4.21 ,$0.70 ,$1.48 ,$1.95 ,$3.98 ,$4.15 ,$2.15 ,$2.86 ,$1.01 ,$2.15 ,$1.76 ,$5.29 ,$3.84 ,$2.60 ,$1.33 ,$2.31 ,$1.63 ,$826 ,"$241,647 ",3.93,$858 ,,$103.98 ,$71.91 ,$175.89 ,$24.33 ,$32.51 ,$2.47 ,$108.35 ,$89.83 ,$66.34 ,$8.48 ,$265.35 ,$3.62 ,$9.75 ,$1.73 ,$14.54 ,$30.67 ,$2.46 ,$0.94 ,$12.81 ,$38.18 ,$26.87 ,$37.96 ,$78.82 ,$13.00 ,$9.82 ,$4.69 ,$2.84 ,$41.95 ,$8.02 ,$7.18 
01-19460-235,Alabama,Decatur AL Metro,Decatur-Hartselle AL,$10.95 ,$4.42 ,$4.18 ,$1.41 ,$0.86 ,$2.15 ,$2.01 ,$0.95 ,$3.61 ,$3.02 ,$0.62 ,$1.53 ,$1.44 ,$3.34 ,$4.13 ,$2.15 ,$3.50 ,$1.15 ,$2.59 ,$1.85 ,$5.65 ,$2.57 ,$2.44 ,$1.37 ,$3.13 ,$1.65 ,$514 ,"$227,177 ",3.91,$805 ,$163.05 ,,,$163.05 ,$35.91 ,$31.25 ,$2.45 ,$92.13 ,$79.40 ,$77.92 ,$8.87 ,$305.51 ,$3.85 ,$8.37 ,$3.83 ,$10.67 ,$34.63 ,$2.34 ,$0.91 ,$9.71 ,$30.01 ,$20.80 ,$31.90 ,$62.50 ,$15.43 ,$9.38 ,$3.87 ,$2.32 ,$41.17 ,$7.99 ,$7.10 
01-20020-250,Alabama,Dothan AL Metro,Dothan AL,$11.87 ,$4.56 ,$4.65 ,$1.31 ,$0.95 ,$2.60 ,$2.26 ,$1.02 ,$3.71 ,$3.17 ,$0.64 ,$1.73 ,$1.58 ,$3.48 ,$3.83 ,$2.14 ,$3.46 ,$1.22 ,$2.64 ,$2.02 ,$5.00 ,$2.91 ,$2.30 ,$1.25 ,$3.10 ,$1.67 ,$610 ,"$249,986 ",3.82,$875 ,$149.47 ,,,$149.47 ,$25.55 ,$32.54 ,$2.41 ,$69.25 ,$71.63 ,$72.39 ,$10.21 ,$298.09 ,$3.19 ,$8.50 ,$3.49 ,$12.46 ,$19.38 ,$2.35 ,$0.97 ,$10.16 ,$22.37 ,$21.10 ,$20.95 ,$76.15 ,$14.95 ,$9.94 ,$3.25 ,$1.94 ,$47.16 ,$8.12 ,$7.31 
01-22520-300,Alabama,Florence-Muscle Shoals AL Metro,Florence AL,$10.38 ,$4.18 ,$4.09 ,$1.32 ,$0.90 ,$2.18 ,$1.93 ,$1.01 ,$3.75 ,$2.83 ,$0.62 ,$1.52 ,$1.46 ,$3.45 ,$3.75 ,$2.16 ,$3.17 ,$1.10 ,$2.62 ,$1.77 ,$5.53 ,$2.78 ,$2.64 ,$1.62 ,$2.73 ,$1.45 ,$570 ,"$262,578 ",3.96,$936 ,$159.16 ,,,$159.16 ,$31.58 ,$33.25 ,$2.48 ,$75.45 ,$72.19 ,$75.46 ,$8.57 ,$309.05 ,$3.75 ,$8.37 ,$4.26 ,$12.70 ,$32.23 ,$2.25 ,$1.06 ,$10.59 ,$21.42 ,$20.62 ,$32.27 ,$71.63 ,$16.25 ,$10.56 ,$4.44 ,$2.34 ,$41.01 ,$8.32 ,$7.78 
01-26620-500,Alabama,Huntsville AL Metro,Huntsville AL,$11.59 ,$5.34 ,$4.00 ,$1.22 ,$0.99 ,$2.18 ,$2.18 ,$0.98 ,$3.81 ,$3.30 ,$0.59 ,$1.31 ,$1.59 ,$3.36 ,$4.27 ,$2.37 ,$3.20 ,$1.03 ,$2.27 ,$1.71 ,$4.96 ,$2.55 ,$2.39 ,$1.18 ,$3.31 ,$1.58 ,$791 ,"$221,323 ",3.91,$784 ,$151.13 ,,,$151.13 ,$33.51 ,$38.34 ,$2.50 ,$111.21 ,$79.58 ,$90.50 ,$8.22 ,$316.67 ,$4.11 ,$9.49 ,$4.20 ,$15.20 ,$33.85 ,$2.15 ,$0.87 ,$9.53 ,$31.79 ,$20.48 ,$28.36 ,$78.53 ,$15.43 ,$9.46 ,$3.67 ,$2.21 ,$44.05 ,$7.97 ,$7.95 
01-33660-600,Alabama,Mobile AL Metro,Mobile AL,$8.76 ,$3.72 ,$4.69 ,$1.43 ,$0.99 ,$2.55 ,$2.35 ,$0.96 ,$3.81 ,$3.71 ,$0.66 ,$1.55 ,$1.69 ,$3.59 ,$4.05 ,$1.98 ,$3.55 ,$1.09 ,$2.61 ,$1.98 ,$5.26 ,$3.21 ,$2.65 ,$1.48 ,$3.51 ,$1.65 ,$686 ,"$244,619 ",3.86,$861 ,,$120.06 ,$68.34 ,$188.40 ,$28.79 ,$39.40 ,$2.44 ,$93.87 ,$78.43 ,$79.31 ,$9.88 ,$275.82 ,$3.78 ,$8.04 ,$3.82 ,$13.48 ,$34.21 ,$3.06 ,$1.03 ,$10.14 ,$29.50 ,$19.61 ,$31.51 ,$68.27 ,$15.21 ,$9.77 ,$4.05 ,$2.27 ,$40.43 ,$8.81 ,$8.41 
01-33860-700,Alabama,Montgomery AL Metro,Montgomery AL,$11.16 ,$4.08 ,$4.57 ,$1.35 ,$0.91 ,$2.54 ,$2.31 ,$1.01 ,$3.81 ,$2.98 ,$0.64 ,$1.65 ,$1.72 ,$3.60 ,$3.61 ,$2.07 ,$3.46 ,$1.10 ,$2.60 ,$1.68 ,$4.79 ,$3.07 ,$2.22 ,$1.52 ,$3.59 ,$1.53 ,$779 ,"$275,970 ",4,$988 ,$179.44 ,,,$179.44 ,$29.99 ,$35.54 ,$2.38 ,$73.22 ,$77.55 ,$68.61 ,$10.33 ,$252.97 ,$3.62 ,$8.50 ,$3.74 ,$14.65 ,$34.44 ,$2.09 ,$0.99 ,$11.52 ,$30.75 ,$19.95 ,$28.93 ,$63.19 ,$22.28 ,$9.49 ,$4.03 ,$2.16 ,$49.94 ,$8.79 ,$7.68 
02-11260-100,Alaska,Anchorage AK Metro,Anchorage AK,$12.69 ,$4.87 ,$4.87 ,$1.37 ,$1.10 ,$2.51 ,$2.40 ,$1.35 ,$5.41 ,$4.40 ,$0.89 ,$1.88 ,$1.98 ,$4.64 ,$5.68 ,$2.70 ,$4.39 ,$1.22 ,$3.35 ,$2.34 ,$5.38 ,$3.85 ,$2.63 ,$1.44 ,$4.36 ,$2.07 ,"$1,332 ","$530,142 ",4.07,"$1,915 ",,$87.08 ,$110.51 ,$197.58 ,$24.51 ,$37.22 ,$3.24 ,$184.75 ,$173.05 ,$129.64 ,$9.61 ,$318.83 ,$4.66 ,$10.50 ,$5.93 ,$19.30 ,$51.48 ,$2.87 ,$0.99 ,$14.27 ,$30.74 ,$22.61 ,$31.05 ,$78.14 ,$18.20 ,$10.98 ,$4.56 ,$2.93 ,$61.56 ,$9.82 ,$12.79 
